Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,114.608032,116.978966,114.483749,116.214149,99.961517,4399162
2020-05-19,115.860420,116.797325,114.856598,115.000000,98.917175,3390191
2020-05-20,115.611855,117.084129,115.296364,116.042068,99.813507,4017372
2020-05-21,115.669212,116.367111,113.738052,113.881454,97.955055,4184941
2020-05-22,114.120461,114.216064,112.418739,113.183556,97.354759,4373117
2020-05-26,115.965584,117.227531,115.688339,116.405357,100.125984,5720888
2020-05-27,118.489487,120.296364,118.040154,120.019119,103.234360,5990965
2020-05-28,121.290634,121.386230,118.757172,119.053535,102.403824,4095404
2020-05-29,118.231361,119.627151,116.864243,119.407265,102.708076,8294675
2020-06-01,119.158699,120.219887,118.575523,119.397705,102.699852,3003798
2020-06-02,120.143402,120.458893,119.177818,120.458893,103.612633,3115093
2020-06-03,121.558319,123.900574,121.414917,123.374763,106.120728,4097914
2020-06-04,122.160614,123.279160,121.434036,123.221794,105.989143,4042581
2020-06-05,128.001907,128.326965,125.956024,126.252388,108.595909,6163764
2020-06-08,126.453156,129.904404,126.453156,129.780121,111.630287,5617543
2020-06-09,127.648186,127.724663,125.258125,126.070747,108.439659,5641706
2020-06-10,126.338432,126.414917,124.091782,124.158699,106.795029,4952601
2020-06-11,120.487572,120.554497,112.657745,112.820267,97.042282,12304726
2020-06-12,115.917786,117.705544,114.034416,116.548759,100.249329,6506434
2020-06-15,113.948372,116.988525,113.087952,116.300194,100.035522,5385959
2020-06-16,119.502869,121.892921,117.743790,119.646271,102.913658,5864608
2020-06-17,120.296364,120.697899,117.973228,118.690247,102.091347,3302013
2020-06-18,117.590820,118.929253,116.950287,118.699806,102.099556,2997208
2020-06-19,120.621414,121.242828,116.873802,117.084129,100.709824,8471554
2020-06-22,116.749519,117.112808,115.229446,115.745697,99.558586,4993081
2020-06-23,116.644356,117.495216,113.986618,114.158699,98.193527,6937700
2020-06-24,113.116638,113.116638,110.783936,111.300194,95.734772,7061546
2020-06-25,111.625237,113.967499,110.994263,113.795410,97.881042,6412608
2020-06-26,113.059273,113.757172,111.147224,112.036331,96.367981,11244605
2020-06-29,112.791588,114.512428,112.208412,114.483749,98.473106,4350837
2020-06-30,113.948372,115.869980,113.766731,115.458893,99.311897,4099797
2020-07-01,114.980881,115.898659,113.164436,113.326958,97.478111,4869967
2020-07-02,114.426384,116.080307,114.015297,114.435944,98.431999,3919362
2020-07-06,115.917786,116.491394,114.206497,114.904396,98.834938,4231488
2020-07-07,113.766731,114.254303,112.170174,112.409180,96.688675,4474893
2020-07-08,112.868073,113.422562,111.357552,112.533463,96.795570,5431669
2020-07-09,112.810707,112.810707,110.133842,110.621414,95.150940,4982098
2020-07-10,110.420647,113.355644,110.219887,113.145317,97.321877,4482842
2020-07-13,114.512428,115.669212,113.441681,113.957932,98.020836,4864632
2020-07-14,113.403442,115.573616,112.734222,115.296364,99.172089,4742982
2020-07-15,117.017204,118.508606,116.778206,117.590820,101.145676,4679176
2020-07-16,117.284897,119.005737,116.787766,118.556404,101.976204,4530121
2020-07-17,118.919693,120.105164,117.782028,119.608032,102.880783,4167892
2020-07-20,120.525810,121.481834,119.636711,120.812622,103.916893,10384374
2020-07-21,125.391968,126.357552,120.267685,120.516251,103.661972,16063004
2020-07-22,120.363289,123.776291,120.267685,123.011475,105.808228,8572388
2020-07-23,123.422562,123.680687,121.558319,121.730400,104.706322,4414225
2020-07-24,120.917786,122.036331,119.980881,120.258125,103.439941,3693531
2020-07-27,119.369026,120.764816,119.225624,120.659653,103.785316,3905136
2020-07-28,120.286804,120.783936,118.690247,118.996178,102.354469,4370397
2020-07-29,119.082214,120.449333,118.613770,119.808792,103.053452,2963109
2020-07-30,118.269600,118.451241,116.290634,117.495216,101.063423,4171553
2020-07-31,117.313576,117.581261,115.764816,117.533463,101.096329,5519847
2020-08-03,118.068832,118.938812,116.778206,118.843208,102.222908,3688301
2020-08-04,118.374763,120.325050,118.374763,120.305923,103.481064,3625541
2020-08-05,121.156792,121.175911,119.130020,119.933075,103.160355,3786102
2020-08-06,119.502869,120.707458,119.502869,120.573616,103.711311,3574287
2020-08-07,118.068832,119.569794,117.791588,119.464630,104.102875,3818946
2020-08-10,119.904396,121.644356,119.674950,121.520073,105.894005,4150842
2020-08-11,123.097511,124.732315,121.042068,121.175911,105.594093,5231255
2020-08-12,121.998085,122.170174,120.344170,121.128105,105.552422,3692066
2020-08-13,120.420647,120.831741,119.282982,119.531548,104.161179,3317180
2020-08-14,118.738052,120.038239,118.460800,119.760994,104.361107,3099716
2020-08-17,119.741875,120.066925,118.938812,118.967499,103.669662,3514665
2020-08-18,119.502869,119.980881,118.776291,119.426384,104.069527,3014990
2020-08-19,119.340347,119.980881,118.068832,118.393883,103.169815,3916119
2020-08-20,117.782028,118.585083,117.409180,117.734222,102.594963,2679015
2020-08-21,117.600380,118.049713,116.931168,117.743790,102.603294,3540815
2020-08-24,118.346077,120.516251,117.934990,120.152962,104.702690,4258057
2020-08-25,120.458893,121.242828,119.015297,119.158699,103.836273,3114674
2020-08-26,119.455070,119.617592,118.499046,118.709366,103.444710,3544162
2020-08-27,119.120461,119.598473,118.527725,119.168259,103.844604,3580144
2020-08-28,119.464630,119.789673,118.757172,119.569794,104.194496,3242182
2020-08-31,119.741875,119.741875,117.619499,117.887192,102.728264,5049983
